"GeneName"	"log2FC"	"pvalue"	"padj"
"YIF1B"	"-0.392036190735291"	"0.0024037903867345"	"0.154800111212114"
"AACS"	"-0.466096880177659"	"0.00253924306741262"	"0.157087568091579"
"ANAPC11"	"-0.325070088264255"	"0.00250908031386912"	"0.157087568091579"
"FLNC"	"1.0406737503629"	"0.00248077214130887"	"0.157087568091579"
"HOXC11"	"-0.614715468771884"	"0.00253676619469619"	"0.157087568091579"
"NOTCH2NL"	"-0.413174415654365"	"0.0025405270355017"	"0.157087568091579"
"RAC2"	"-1.06038445465245"	"0.00247503411664692"	"0.157087568091579"
"SF3B4"	"-0.281919926668355"	"0.00246004067646451"	"0.157087568091579"
"SPAG6"	"-0.303576155786235"	"0.00253085822134054"	"0.157087568091579"
"TIMP3"	"-0.81914088820576"	"0.00250983935441477"	"0.157087568091579"
"ZNF518B"	"-0.689298957139545"	"0.00247226347142671"	"0.157087568091579"
"TMEM8B"	"-0.50566505433451"	"0.00255528549730756"	"0.157373138564339"
"PCDHB9"	"-0.282133665132035"	"0.00261331779626276"	"0.160279297236783"
"SLC9A7"	"-0.47393394107136"	"0.00262312767384941"	"0.160279297236783"
"AXL"	"1.42974638648944"	"0.00266021441607158"	"0.160647967849926"
"CTSB"	"-0.658209181889788"	"0.00265530778581964"	"0.160647967849926"
"MUM1L1"	"-0.48975962703577"	"0.00265265765043465"	"0.160647967849926"
"AMPD2"	"0.211430703330605"	"0.00277612275904938"	"0.16284962984537"
"C2orf49"	"-0.281244290701863"	"0.00278644934799656"	"0.16284962984537"
"CARD14"	"-0.281733675365251"	"0.00279146580531404"	"0.16284962984537"
"LSM6"	"-0.377920052815102"	"0.0027371396733325"	"0.16284962984537"
"MAP6"	"-0.315215489997824"	"0.00280160123509754"	"0.16284962984537"
"MME"	"1.07403120314854"	"0.00271865147814731"	"0.16284962984537"
"RASA3"	"0.603907998772163"	"0.00276908792799981"	"0.16284962984537"
